city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Suohe,34.7879,113.3920,China,CN,Henan,minor,626700,626700
Zhuangyuan,37.3000,120.8333,China,CN,Shandong,minor,626683,626683
Turpan,42.9500,89.1822,China,CN,Xinjiang,minor,622903,622903
Meihekou,42.5279,125.6780,China,CN,Jilin,minor,618251,618251
Zhugang,28.1277,121.2288,China,CN,Zhejiang,minor,616346,616346
Tianchang,32.6853,119.0041,China,CN,Anhui,minor,602840,602840
Qamdo,31.1375,97.1777,China,CN,Tibet,minor,598862,598862
Luocheng,30.9793,104.2800,China,CN,Sichuan,minor,591115,591115
Shangzhi,45.2116,127.9620,China,CN,Heilongjiang,minor,585386,585386
Kuiju,36.8528,119.3904,China,CN,Shandong,minor,581470,581470
Fu’an,27.1000,119.6333,China,CN,Fujian,minor,577000,577000
Luofeng,37.3590,120.3960,China,CN,Shandong,minor,570898,570898
Zhenzhou,32.2739,119.1619,China,CN,Jiangsu,minor,564021,564021
Luanzhou,39.7396,118.6978,China,CN,Hebei,minor,554315,554315
Korla,41.7646,86.1527,China,CN,Xinjiang,minor,549324,549324
Wancheng,18.8000,110.4000,China,CN,Hainan,minor,545597,545597
Fuding,27.2000,120.2000,China,CN,Fujian,minor,542000,542000
Chang’an,29.4761,113.4480,China,CN,Hunan,minor,537500,537500
Wencheng,19.6167,110.7500,China,CN,Hainan,minor,537426,537426
Aksu,41.1664,80.2500,China,CN,Xinjiang,minor,535657,535657
Ailan Mubage,43.9167,81.3167,China,CN,Xinjiang,minor,526745,526745
Anda,46.4078,125.3252,China,CN,Heilongjiang,minor,520000,520000
Yicheng,31.7117,112.2551,China,CN,Hubei,minor,512530,512530
Kashgar,39.4500,75.9833,China,CN,Xinjiang,minor,506640,506640
Meicheng,30.6412,116.5689,China,CN,Anhui,minor,500292,500292
Chengjiao,35.4043,114.0593,China,CN,Henan,minor,495744,495744
Encheng,22.1879,112.3131,China,CN,Guangdong,minor,492814,492814
Taozhou,30.8956,119.4110,China,CN,Anhui,minor,487243,487243
Dunhua,43.3667,128.2333,China,CN,Jilin,minor,483811,483811
Jiaji,19.2431,110.4642,China,CN,Hainan,minor,483217,483217
Kaihua,23.3715,104.2437,China,CN,Yunnan,minor,481505,481505
Jiannan,31.3446,104.1994,China,CN,Sichuan,minor,477868,477868
Wuhai,39.6708,106.8114,China,CN,Inner Mongolia,minor,477000,477000
Jinchang,38.5168,102.1866,China,CN,Gansu,minor,464200,464200
Xicheng,23.3629,103.1545,China,CN,Yunnan,minor,459781,459781
Jian’ou,27.0387,118.3215,China,CN,Fujian,minor,456000,456000
Minzhu,43.7192,127.3370,China,CN,Jilin,minor,453265,453265
Tanbei,35.0907,112.9317,China,CN,Henan,minor,447701,447701
Pingquan,41.0042,118.6848,China,CN,Hebei,minor,446939,446939
Ning’an,44.3429,129.4621,China,CN,Heilongjiang,minor,440000,440000
Guangming,45.3357,122.7765,China,CN,Jilin,minor,437559,437559
Yan’an Beilu,44.0222,87.2961,China,CN,Xinjiang,minor,426253,426253
Hailin,44.5735,129.3825,China,CN,Heilongjiang,minor,420000,420000
Lecheng,25.1307,113.3472,China,CN,Guangdong,minor,419500,419500
Wenlan,23.3689,103.3881,China,CN,Yunnan,minor,417156,417156
Nagqu,31.4766,92.0569,China,CN,Tibet,minor,414554,414554
Fangting,31.1282,104.1695,China,CN,Sichuan,minor,412758,412758
Zhangjiakou Shi Xuanhua Qu,40.5944,115.0243,China,CN,Hebei,minor,409745,373422
Basuo,19.1000,108.6500,China,CN,Hainan,minor,408309,408309
Ghulja,43.9000,81.3500,China,CN,Xinjiang,minor,403489,403489
Karamay,45.5928,84.8711,China,CN,Xinjiang,minor,391008,391008
Tieli,46.9804,128.0450,China,CN,Heilongjiang,minor,390000,390000
Baicheng,45.6148,122.8320,China,CN,Jilin,minor,386861,316970
Lianzhou,24.7868,112.3735,China,CN,Guangdong,minor,384700,384700
Shihezi,44.3000,86.0333,China,CN,Xinjiang,minor,380130,380130
Helixi,30.6267,118.9861,China,CN,Anhui,minor,376857,376857
Huichang,34.9136,112.7852,China,CN,Henan,minor,367113,367113
Zalantun,48.0033,122.7365,China,CN,Inner Mongolia,minor,366323,366323
Sanya,18.2536,109.5019,China,CN,Hainan,minor,362689,144753
Shuanghejiedao,30.3866,106.7756,China,CN,Sichuan,minor,360000,360000
Yong’an,25.9733,117.3593,China,CN,Fujian,minor,357000,357000
Licheng,24.4935,110.3902,China,CN,Guangxi,minor,352472,352472
Yakeshi,49.2842,120.7283,China,CN,Inner Mongolia,minor,352173,352173
Lianran,24.9211,102.4778,China,CN,Yunnan,minor,341341,341341
Tangdong,25.9755,113.2302,China,CN,Hunan,minor,337495,337495
Baishan,41.9377,126.4179,China,CN,Jilin,minor,330000,330000
Bamiantong,44.9164,130.5212,China,CN,Heilongjiang,minor,330000,330000
Yunzhong,39.8143,113.0946,China,CN,Shanxi,minor,326849,326849
Hotan,37.1012,79.9327,China,CN,Xinjiang,minor,322300,322300
Yakou,33.2937,113.5203,China,CN,Henan,minor,313828,313828
Qianzhou,28.3185,109.7318,China,CN,Hunan,minor,301000,301000
Kumul,42.8270,93.5150,China,CN,Xinjiang,minor,300848,137072
Hong’an,47.2100,123.6100,China,CN,Heilongjiang,minor,289999,265344
Shaowu,27.3417,117.4869,China,CN,Fujian,minor,278000,278000
