,number of cases,City,location_ENG,Population at Year-end (10000 persons),Natural growth rate (‰),"Number of employees at the end of the year (10,000 Yuan)",Average annual salary per urban employee ( Yuan),Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GRP,Number of theaters,Collections of public libraries (100 people),province
57,1,荆州市,"('Jingzhou', 'Hubei')",470.5466913580247,7.309456790123457,69.8675874074074,47766.072888888884,510.13203703703704,53107.45679012346,48.86145061728394,37.427962962962965,24.098765432098766,47.2179012345679,Hubei
58,1,荆门市,"('Jingmen', 'Hubei')",452.9875604938271,7.497802469135801,72.71148014814815,47652.95557777777,515.2217407407408,55388.1774691358,49.384345679012334,37.71500925925926,25.00864197530864,50.11719135802469,Hubei
59,1,西宁市,"('Xining', 'Qinghai')",203.954,5.954,34.35812,66338.61600000001,263.66,51792.4,45.48,51.135,12.0,76.41499999999998,Qinghai
60,1,贵港市,"('Guigang', 'Guangxi')",552.8280000000002,13.145999999999995,18.41014,55651.325999999994,515.08,22593.2,40.985,39.8025,9.0,15.805,Guangxi
61,1,贺州市,"('Hezhou', 'Guangxi')",242.178,14.012,10.303720000000002,59597.30800000001,203.37,25402.4,39.8425,38.8475,5.0,27.9,Guangxi
62,1,辽源市,"('Liaoyuan', 'Jilin')",119.52,-2.5620000000000003,12.11612,47736.002,236.185,58165.75,55.4375,36.95,2.0,31.895000000000003,Jilin
63,1,鄂州市,"('Ezhou', 'Hubei')",468.55851654320986,7.715182716049382,76.04524616296297,48033.57873555555,542.5869148148147,55687.245216049385,49.08653024691357,38.11851018518519,26.709506172839507,51.76041049382716,Hubei
64,1,铜川市,"('Tongchuan', 'Shaanxi')",420.73782600000004,3.9703979999999994,54.59977132,56266.954388,309.551245,49670.5806,52.875080000000004,36.407097500000006,19.127,42.757515,Shaanxi
65,1,防城港市,"('Fangchenggang', 'Guangxi')",96.762,14.632,9.26208,57086.942,152.485,71859.2,55.285,32.129999999999995,4.0,39.455,Guangxi
66,1,阳江市,"('Yangjiang', 'Guangdong')",294.904,14.748,23.23068,55147.314000000006,365.405,50390.4,42.1275,41.27,9.0,28.7,Guangdong
67,1,鹤岗市,"('Hegang', 'Heilongjiang')",103.522,-4.046,18.72024,47383.93,72.61,26185.6,30.925,35.25,3.0,40.69,Heilongjiang
68,1,鹰潭市,"('Yingtan', 'Jiangxi')",127.83200000000002,9.922,15.1846,60322.834,356.6,59659.5,58.6475,33.845,6.0,34.975,Jiangxi
69,1,黑河市,"('Heihe', 'Heilongjiang')",164.3,-2.84,21.585740000000005,46090.615,24.78,28204.6,15.489999999999998,37.5275,6.0,20.84,Heilongjiang
70,1,黔西南布依族苗族自治州,"('Qianxi', 'Guizhou')",530.6399166666666,12.759166666666667,40.74160583333333,68469.92541666667,327.00916666666666,38666.066666666666,39.218333333333334,45.69944444444445,10.166666666666666,63.73749999999999,Guizhou
71,2,丽水市,"('Lishui', 'Zhejiang')",267.816,5.73,18.54618,84847.398,153.675,55696.8,45.01750000000001,47.145,21.0,66.13,Zhejiang
72,2,吕梁市,"('Lüliang', 'Shanxi')",335.0428337143728,4.864737692424935,45.08186802011889,57386.13014845299,278.7606264288981,43933.44179240969,47.74349641822893,45.87311156835848,12.792714525224815,55.480630239292786,Shanxi
73,2,商丘市,"('Shangqiu', 'Henan')",786.8268407703704,7.9369938567901235,74.1999633548642,49925.27979109136,776.8213457777778,43316.58182648888,48.22299486419753,39.09545061728395,11.031486419753087,23.11429195061728,Henan
