,city,"Population at Year-end (10,000 persons)",Natural growth rate (‰),"Number of employees at the end of the year (10,000 Persons)","Number of the registered unemployed at the end of year (10,000 Persons)",Average annual salary per urban employee (Yuan),"Number of average employees on site (10,000 persons)",Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GDP,"Total retail sales of social consumer goods (10,000 Yuan)","Government expenditure on Science (10,000 yuan)","Government expenditure on Education (10,000 yuan)",Number of secondary schools,Number of theaters,Number of collections of public library (/100 people),Number of persons joining urban basic medical care system,Persons covered of unemployment insurance,"Population (registered residence population) at the end of the year (10,000)","Number of male population (registered residence population) at the end of the year (10,000)","Number of female population (registered residence population) at the end of the year (10,000)"
94,三明市,286.424,13.562000000000001,24.40308,10091.2,65480.386,21.344,123.67,74308.75,51.5675,34.3675,4903749.0,41773.8,520682.8,156.4,20.0,169.86,472247.0,293083.4,286.43199999999996,149.69,136.57
95,南平市,319.812,7.4319999999999995,24.79508,18741.2,60015.576,21.372,121.615,54936.25,43.1725,36.335,5605738.8,24899.8,463777.6,163.8,8.0,64.835,454552.4,319454.4,319.77799999999996,165.072,154.762
96,宁德市,351.62399999999997,10.628,30.189460000000004,11016.6,61934.212,26.322000000000003,260.645,55902.75,50.485,32.73,5138028.0,27698.4,513881.2,176.4,6.0,36.235,571989.0,212068.0,351.58,184.516,166.942
97,莆田市,350.092,15.532,52.25386000000001,7898.0,56807.29,47.064,829.35,62850.25,55.935,37.46249999999999,6277679.0,30200.2,537239.2,145.0,4.0,27.185000000000002,395557.2,269810.4,350.144,178.848,171.21
98,泉州市,733.13,15.254,148.37888,21382.8,57463.204000000005,141.882,652.845,79018.25,59.525,37.6575,27631022.6,131575.6,1284503.4,326.2,34.0,88.19,1239544.4,660305.4,733.154,379.84799999999996,353.836
99,漳州市,508.496,13.318000000000001,56.29076,12435.8,62784.528000000006,46.465999999999994,387.97,61388.25,48.215,38.8325,8877637.2,52067.0,676000.0,207.4,10.0,90.315,732711.8,388039.6,508.45599999999996,261.10600000000005,247.47400000000002
100,龙岩市,313.096,14.464000000000002,31.479000000000003,16493.0,58727.566000000006,28.496,161.60500000000002,73147.0,51.404999999999994,37.3175,7298365.2,67208.4,553762.0,169.2,8.0,58.94,510953.2,363103.6,313.03000000000003,162.23799999999997,150.638
101,厦门市,221.91,14.722,142.28258,27680.0,71965.698,128.30599999999998,1267.615,98127.0,42.59,56.777499999999996,13026665.6,219052.0,1119140.4,93.4,5.0,252.60500000000002,2499640.0,1975360.0,221.54000000000002,109.422,111.62
102,南昌市,523.616,11.358,122.32174,64307.8,66149.626,103.508,700.98,80918.75,53.230000000000004,42.644999999999996,18128683.8,150720.8,935388.8,286.4,9.0,99.195,1327819.4,614098.8,532.3976399999999,278.13136,260.34064
103,景德镇市,168.506,7.99,18.86168,17622.2,51676.848,17.348,318.23,48591.5,54.4575,38.31,2973390.6,24483.0,253506.8,100.0,6.0,58.435,393216.0,134611.8,167.46828,84.9687,80.29690000000001
